sigla_provincia;codice_istat;denominazione_ita;codice_belfiore;data_inizio_validita;data_fine_validita;stato_validita
PA;082029;"CHIUSA SCLAFANI";C654;19/01/1863;;Attivo
UD;030025;CHIUSAFORTE;C656;06/04/1968;;Attivo
UD;030038;CHIUSAFORTE;C656;02/09/1867;05/04/1968;Inattivo
IM;008019;CHIUSANICO;C657;17/03/1861;;Attivo
AT;005038;"CHIUSANO D'ASTI";C658;08/04/1935;;Attivo
AL;006864;"CHIUSANO D'ASTI";C658;16/02/1863;07/04/1935;Inattivo
AV;064028;"CHIUSANO DI SAN DOMENICO";C659;24/11/1862;;Attivo
IM;008020;CHIUSAVECCHIA;C660;17/03/1861;;Attivo
SI;052010;CHIUSDINO;C661;17/03/1861;;Attivo
SI;052011;CHIUSI;C662;17/03/1861;;Attivo
AR;051015;"CHIUSI DELLA VERNA";C663;19/05/1928;;Attivo
AR;051015;"CHIUSI IN CASENTINO";C663;17/03/1861;18/05/1928;Inattivo
TO;001082;CHIVASSO;C665;17/03/1861;;Attivo
TN;022823;CHIZZOLA;C666;14/02/1923;05/09/1928;Inattivo
TN;802110;CHIZZOLA;C666;16/10/1920;13/02/1923;Inattivo
TN;022824;CIAGO;C667;14/02/1923;18/04/1928;Inattivo
TN;802111;CIAGO;C667;16/10/1920;13/02/1923;Inattivo
AO;007015;CIAMBAVE;C595;21/10/1939;29/01/1946;Inattivo
RM;058118;CIAMPINO;M272;15/10/1974;;Attivo
AG;084015;CIANCIANA;C668;17/03/1861;;Attivo
RE;035018;"CIANO D'ENZA";C669;26/12/1873;17/06/1991;Inattivo
BZ;021812;CIARDES;C671;12/01/1927;14/02/1929;Inattivo
TN;022974;CIARDES;C671;27/04/1923;11/01/1927;Inattivo
TN;022974;CIARS;C671;14/02/1923;26/04/1923;Inattivo
TN;802112;CIARS;C671;16/10/1920;13/02/1923;Inattivo
BL;025013;CIBIANA;C672;19/11/1866;17/09/1968;Inattivo
BL;025013;"CIBIANA DI CADORE";C672;18/09/1968;;Attivo
GE;010016;CICAGNA;C673;17/03/1861;;Attivo
CZ;079030;CICALA;C674;17/03/1861;;Attivo
CE;061836;CICCIANO;C675;17/03/1861;11/01/1927;Inattivo
NA;063027;CICCIANO;C675;12/01/1927;;Attivo
SA;065042;CICERALE;C676;17/03/1861;;Attivo
RM;058030;CICILIANO;C677;15/01/1871;;Attivo
CR;019030;CICOGNOLO;C678;17/03/1861;;Attivo
TO;001083;CICONIO;C679;10/01/1947;;Attivo
TO;001083;CICONIO;C679;17/03/1861;11/01/1927;Inattivo
AO;007833;CICONIO;C679;12/01/1927;15/06/1929;Inattivo
VC;002042;CIGLIANO;C680;12/01/1927;;Attivo
NO;003954;CIGLIANO;C680;17/03/1861;11/01/1927;Inattivo
CN;004069;CIGLIE';C681;15/03/1947;;Attivo
CN;004069;CIGLIE';C681;17/03/1861;25/03/1929;Inattivo
BS;017824;CIGNANO;C682;17/03/1861;15/02/1928;Inattivo
PV;018049;CIGOGNOLA;C684;17/03/1861;;Attivo
BS;017053;CIGOLE;C685;17/03/1861;;Attivo
PV;018050;CILAVEGNA;C686;17/03/1861;;Attivo
BS;017825;CILIVERGHE;C687;17/03/1861;16/04/1928;Inattivo
CO;013857;CIMA;C688;17/03/1861;06/03/1928;Inattivo
TV;026017;CIMADOLMO;C689;19/11/1866;;Attivo
NO;003836;CIMAMULERA;C690;17/03/1861;29/07/1928;Inattivo
BS;017054;CIMBERGO;C691;17/03/1861;23/12/1927;Inattivo
BS;017054;CIMBERGO;C691;22/12/1947;;Attivo
BS;017826;CIMBERGO-PASPARDO;C692;24/12/1927;22/12/1947;Inattivo
TN;022057;CIMEGO;C694;14/02/1923;12/03/1928;Inattivo
TN;022057;CIMEGO;C694;24/12/1946;31/12/2015;Inattivo
TN;802113;CIMEGO;C694;16/10/1920;13/02/1923;Inattivo
RC;080026;CIMINA';C695;17/03/1861;;Attivo
PA;082030;CIMINNA;C696;17/03/1861;;Attivo
CE;061837;CIMITILE;C697;17/03/1861;11/01/1927;Inattivo
NA;063028;CIMITILE;C697;12/01/1927;;Attivo
BS;017183;CIMMO;C698;17/03/1861;22/05/1927;Inattivo
UD;030039;CIMOLAIS;C699;19/11/1866;05/04/1968;Inattivo
PN;093014;CIMOLAIS;C699;06/04/1968;;Attivo
TN;022058;CIMONE;C700;14/02/1923;22/05/1928;Inattivo
TN;022058;CIMONE;C700;23/06/1947;;Attivo
TN;802114;CIMONE;C700;16/10/1920;13/02/1923;Inattivo
AT;005039;CINAGLIO;C701;08/04/1935;;Attivo
AL;006865;CINAGLIO;C701;17/03/1861;07/04/1935;Inattivo
RM;058031;"CINETO ROMANO";C702;09/05/1884;;Attivo
CR;019031;"CINGIA DE' BOTTI";C703;28/06/1868;;Attivo
MC;043012;CINGOLI;C704;17/03/1861;;Attivo
GR;053007;CINIGIANO;C705;17/03/1861;;Attivo
MI;015858;CINISELLO;C706;17/03/1861;02/11/1928;Inattivo
MI;015077;"CINISELLO BALSAMO";C707;03/11/1928;;Attivo
PA;082031;CINISI;C708;17/03/1861;;Attivo
SO;014021;CINO;C709;17/03/1861;;Attivo
RC;080027;CINQUEFRONDI;C710;17/03/1861;;Attivo
TO;001084;CINTANO;C711;24/01/1947;;Attivo
TO;001084;CINTANO;C711;17/03/1861;11/01/1927;Inattivo
AO;007834;CINTANO;C711;12/01/1927;19/12/1928;Inattivo
TN;022059;"CINTE TESINO";C712;14/02/1923;20/02/1928;Inattivo
TN;022059;"CINTE TESINO";C712;30/03/1947;;Attivo
TN;802115;"CINTE TESINO";C712;16/10/1920;13/02/1923;Inattivo
VE;027009;"CINTO CAOMAGGIORE";C714;05/08/1867;;Attivo
PD;028031;"CINTO EUGANEO";C713;26/08/1867;;Attivo
TO;001085;CINZANO;C715;17/03/1861;;Attivo
CE;061030;CIORLANO;C716;01/09/1945;;Attivo
CE;061030;CIORLANO;C716;15/04/1898;11/01/1927;Inattivo
CB;070802;CIORLANO;C716;12/01/1927;31/08/1945;Inattivo
CS;078132;CIPOLLINA;C717;30/04/1948;09/07/1955;Inattivo
IM;008021;CIPRESSA;C718;17/03/1861;;Attivo
BN;062024;CIRCELLO;C719;17/03/1861;;Attivo
UD;030843;CIRCHINA;C720;08/02/1923;11/01/1927;Inattivo
GO;031709;CIRCHINA;C720;12/01/1927;15/09/1947;Inattivo
GO;801050;CIRCHINA;C720;05/01/1921;07/02/1923;Inattivo
NO;003837;CIREGGIO;C721;17/03/1861;24/03/1928;Inattivo
TO;001086;CIRIE';C722;17/03/1861;;Attivo
PZ;076806;CIRIGLIANO;C723;17/03/1861;11/01/1927;Inattivo
MT;077005;CIRIGLIANO;C723;12/01/1927;;Attivo
CO;013068;CIRIMIDO;C724;17/03/1861;;Attivo
CZ;079031;CIRO';C725;17/03/1861;15/04/1992;Inattivo
KR;101007;CIRO';C725;16/04/1992;;Attivo
CZ;079032;"CIRO' MARINA";C726;24/04/1952;15/04/1992;Inattivo
KR;101008;"CIRO' MARINA";C726;16/04/1992;;Attivo
TN;022060;CIS;C727;14/02/1923;29/10/1928;Inattivo
TN;022060;CIS;C727;15/03/1947;;Attivo
TN;802116;CIS;C727;16/10/1920;13/02/1923;Inattivo
BG;016074;"CISANO BERGAMASCO";C728;13/07/1863;;Attivo
SV;009025;"CISANO SUL NEVA";C729;12/01/1927;;Attivo
GE;010871;"CISANO SUL NEVA";C729;23/04/1863;11/01/1927;Inattivo
BG;016075;CISERANO;C730;17/03/1861;;Attivo
UD;030804;CISERIIS;C731;19/11/1866;29/04/1928;Inattivo
VA;012050;CISLAGO;C732;12/01/1927;;Attivo
MI;015400;CISLAGO;C732;17/03/1861;11/01/1927;Inattivo
MI;015078;CISLIANO;C733;02/08/1870;;Attivo
VI;024031;CISMON;C734;19/11/1866;03/03/1928;Inattivo
VI;024031;"CISMON DEL GRAPPA";C734;04/03/1928;29/01/2019;Inattivo
TV;026018;"CISON DI VALMARINO";C735;25/11/1867;;Attivo
TN;022406;CISSICO;C737;14/02/1923;26/04/1923;Inattivo
TN;802211;CISSICO;C737;16/10/1920;13/02/1923;Inattivo
CN;004070;CISSONE;C738;17/03/1861;24/01/1929;Inattivo
CN;004070;CISSONE;C738;17/06/1947;;Attivo
AT;005040;"CISTERNA D'ASTI";C739;08/04/1935;;Attivo
AL;006866;"CISTERNA D'ASTI";C739;16/02/1863;07/04/1935;Inattivo
LT;059005;"CISTERNA DI LATINA";C740;10/10/1946;;Attivo
LT;059005;"CISTERNA DI LITTORIA";C740;15/06/1935;09/10/1946;Inattivo
RM;058844;"CISTERNA DI ROMA";C740;14/01/1873;25/10/1934;Inattivo
LT;059005;"CISTERNA DI ROMA";C740;26/10/1934;14/06/1935;Inattivo
BA;072806;CISTERNINO;C741;17/03/1861;11/01/1927;Inattivo
BR;074005;CISTERNINO;C741;12/01/1927;;Attivo
PG;054011;CITERNA;C742;17/03/1861;;Attivo
PG;054012;"CITTA' DELLA PIEVE";C744;17/03/1861;;Attivo
PG;054013;"CITTA' DI CASTELLO";C745;17/03/1861;;Attivo
TE;067810;"CITTA' SANT'ANGELO";C750;17/03/1861;11/01/1927;Inattivo
PE;068012;"CITTA' SANT'ANGELO";C750;12/01/1927;;Attivo
PD;028032;CITTADELLA;C743;19/11/1866;;Attivo
RI;057016;CITTADUCALE;C746;12/01/1927;;Attivo
AQ;066817;CITTADUCALE;C746;17/03/1861;11/01/1927;Inattivo
RC;080028;CITTANOVA;C747;17/03/1861;;Attivo
PL;702711;"CITTANOVA D'ISTRIA";C748;08/02/1923;03/04/1977;Inattivo
PL;801051;"CITTANOVA D'ISTRIA";C748;05/01/1921;07/02/1923;Inattivo
RI;057017;CITTAREALE;C749;12/01/1927;;Attivo
AQ;066818;CITTAREALE;C749;17/03/1861;11/01/1927;Inattivo
VA;012051;CITTIGLIO;C751;12/01/1927;;Attivo
CO;013424;CITTIGLIO;C751;17/03/1861;11/01/1927;Inattivo
CO;013069;CIVATE;C752;17/03/1861;15/04/1992;Inattivo
LC;097022;CIVATE;C752;16/04/1992;;Attivo
CO;013858;CIVELLO;C753;17/03/1861;30/05/1928;Inattivo
CO;013070;CIVENNA;C754;17/03/1861;03/02/2014;Inattivo
IM;008022;CIVEZZA;C755;17/03/1861;09/11/1928;Inattivo
IM;008022;CIVEZZA;C755;11/07/1946;;Attivo
TN;022061;CIVEZZANO;C756;14/02/1923;;Attivo
TN;802117;CIVEZZANO;C756;16/10/1920;13/02/1923;Inattivo
VC;002043;CIVIASCO;C757;12/01/1927;01/03/1929;Inattivo
VC;002043;CIVIASCO;C757;26/11/1947;;Attivo
NO;003955;CIVIASCO;C757;17/03/1861;11/01/1927;Inattivo
UD;030026;"CIVIDALE DEL FRIULI";C758;06/04/1968;;Attivo
UD;030040;"CIVIDALE DEL FRIULI";C758;19/11/1866;05/04/1968;Inattivo
BG;016076;"CIVIDATE AL PIANO";C759;13/07/1863;;Attivo
BS;017055;"CIVIDATE CAMUNO";C760;14/02/1887;21/05/1928;Inattivo
BS;017055;"CIVIDATE CAMUNO";C760;04/11/1947;;Attivo
BS;017827;"CIVIDATE MALEGNO";C761;22/05/1928;04/11/1947;Inattivo
CO;013859;CIVIGLIO;C762;17/03/1861;12/08/1943;Inattivo
CS;078041;CIVITA;C763;17/03/1861;;Attivo
VT;056021;"CIVITA CASTELLANA";C765;12/01/1927;;Attivo
RM;058845;"CIVITA CASTELLANA";C765;15/01/1871;11/01/1927;Inattivo
AQ;066034;"CIVITA D'ANTINO";C766;17/03/1861;;Attivo
RM;058050;"CIVITA LAVINIA";C767;15/01/1871;29/10/1914;Inattivo
CB;070019;CIVITACAMPOMARANO;C764;03/03/1970;;Attivo
CB;070034;CIVITACAMPOMARANO;C764;17/03/1861;02/03/1970;Inattivo
CH;069023;CIVITALUPARELLA;C768;17/03/1861;;Attivo
CB;070035;"CIVITANOVA DEL SANNIO";C769;11/03/1864;02/03/1970;Inattivo
IS;094016;"CIVITANOVA DEL SANNIO";C769;03/03/1970;;Attivo
MC;043013;"CIVITANOVA MARCHE";C770;11/03/1864;;Attivo
TE;067811;CIVITAQUANA;C771;17/03/1861;11/01/1927;Inattivo
PE;068013;CIVITAQUANA;C771;12/01/1927;;Attivo
RM;058032;CIVITAVECCHIA;C773;15/01/1871;;Attivo
AQ;066035;"CIVITELLA ALFEDENA";C778;17/03/1861;;Attivo
TE;067812;"CIVITELLA CASANOVA";C779;17/03/1861;11/01/1927;Inattivo
PE;068014;"CIVITELLA CASANOVA";C779;12/01/1927;;Attivo
VT;056022;"CIVITELLA D'AGLIANO";C780;12/01/1927;;Attivo
RM;058846;"CIVITELLA D'AGLIANO";C780;15/01/1871;11/01/1927;Inattivo
TE;067017;"CIVITELLA DEL TRONTO";C781;17/03/1861;;Attivo
FC;040009;"CIVITELLA DI ROMAGNA";C777;08/09/1862;;Attivo
AR;051016;"CIVITELLA IN VAL DI CHIANA";C774;28/11/1862;;Attivo
CH;069024;"CIVITELLA MESSER RAIMONDO";C776;06/02/1863;;Attivo
GR;053008;"CIVITELLA PAGANICO";C782;13/03/1928;;Attivo
AQ;066036;"CIVITELLA ROVETO";C783;17/03/1861;;Attivo
RM;058033;"CIVITELLA SAN PAOLO";C784;15/01/1871;;Attivo
SO;014022;CIVO;C785;17/03/1861;;Attivo
BS;017828;CIZZAGO;C786;17/03/1861;03/12/1927;Inattivo
CO;013071;"CLAINO CON OSTENO";C787;17/03/1861;;Attivo
FU;701704;CLANA;C788;26/09/1925;15/09/1947;Inattivo
BG;016221;CLANEZZO;C789;17/03/1861;01/04/1927;Inattivo
UD;030041;CLAUT;C790;19/11/1866;05/04/1968;Inattivo
PN;093015;CLAUT;C790;06/04/1968;;Attivo
UD;030042;CLAUZETTO;C791;19/11/1866;05/04/1968;Inattivo
PN;093016;CLAUZETTO;C791;06/04/1968;;Attivo
CN;004071;CLAVESANA;C792;17/03/1861;;Attivo
TO;001087;CLAVIERE;C793;16/06/1937;;Attivo
TO;001087;CLAVIERES;C793;17/03/1861;15/06/1937;Inattivo
TN;022062;CLES;C794;14/02/1923;;Attivo
TN;802118;CLES;C794;16/10/1920;13/02/1923;Inattivo
CS;078042;CLETO;C795;19/01/1863;18/05/1928;Inattivo
CS;078042;CLETO;C795;07/03/1934;;Attivo
VA;012052;CLIVIO;C796;12/01/1927;12/01/1928;Inattivo
VA;012052;CLIVIO;C796;19/07/1953;;Attivo
CO;013425;CLIVIO;C796;17/03/1861;11/01/1927;Inattivo
TN;022063;CLOZ;C797;10/01/1947;31/12/2019;Inattivo
TN;022063;CLOZ;C797;14/02/1923;31/12/1928;Inattivo
TN;802119;CLOZ;C797;16/10/1920;13/02/1923;Inattivo
BS;017829;"CLUSANE SUL LAGO";C798;25/08/1873;28/12/1927;Inattivo
BZ;021813;CLUSIO;C799;12/01/1927;26/01/1928;Inattivo
TN;022975;CLUSIO;C799;14/02/1923;11/01/1927;Inattivo
TN;802120;CLUSIO;C799;16/10/1920;13/02/1923;Inattivo
BG;016077;CLUSONE;C800;17/03/1861;;Attivo
TO;001088;"COASSOLO TORINESE";C801;10/08/1863;;Attivo
TO;001089;COAZZE;C803;17/03/1861;;Attivo
AT;005041;COAZZOLO;C804;01/10/1947;;Attivo
AL;006867;COAZZOLO;C804;17/03/1861;20/04/1929;Inattivo
UD;030844;COBBIA;C805;27/04/1923;11/01/1927;Inattivo
GO;031824;COBBIA;C805;12/01/1927;12/03/1928;Inattivo
UD;030844;COBILAGLAVA;C805;08/02/1923;26/04/1923;Inattivo
GO;801052;COBILAGLAVA;C805;05/01/1921;07/02/1923;Inattivo
BS;017056;COCCAGLIO;C806;17/03/1861;;Attivo
AT;005042;COCCONATO;C807;08/04/1935;;Attivo
AL;006868;COCCONATO;C807;04/06/1875;07/04/1935;Inattivo
VA;012841;COCQUIO;C809;12/01/1927;26/05/1927;Inattivo
CO;013426;COCQUIO;C809;17/03/1861;11/01/1927;Inattivo
VA;012053;COCQUIO-TREVISAGO;C810;27/05/1927;;Attivo
AQ;066037;COCULLO;C811;17/03/1861;;Attivo
PD;028033;CODEVIGO;C812;19/11/1866;;Attivo
PV;018051;CODEVILLA;C813;17/03/1861;;Attivo
FE;038005;CODIGORO;C814;17/03/1861;;Attivo
TV;026019;CODOGNE';C815;11/08/1869;;Attivo
MI;015079;CODOGNO;C816;01/02/1869;15/04/1992;Inattivo
LO;098019;CODOGNO;C816;16/04/1992;;Attivo
UD;030027;CODROIPO;C817;06/04/1968;;Attivo
UD;030043;CODROIPO;C817;19/11/1866;05/04/1968;Inattivo
SS;090026;CODRONGIANOS;C818;17/03/1861;31/03/2025;Inattivo
SS;112019;Codrongianos;C818;01/04/2025;;Attivo
VC;002044;COGGIOLA;C819;12/01/1927;15/04/1992;Inattivo
NO;003956;COGGIOLA;C819;17/03/1861;11/01/1927;Inattivo
BI;096019;COGGIOLA;C819;16/04/1992;;Attivo
MI;015080;COGLIATE;C820;04/08/1919;29/06/2009;Inattivo
MB;108020;COGLIATE;C820;30/06/2009;;Attivo
TO;001893;COGNE;C821;17/03/1861;11/01/1927;Inattivo
AO;007021;COGNE;C821;12/01/1927;;Attivo
TN;022825;COGNOLA;C822;14/02/1923;30/09/1926;Inattivo
TN;802121;COGNOLA;C822;16/10/1920;13/02/1923;Inattivo
SV;009833;COGOLETO;C823;12/01/1927;19/05/1933;Inattivo
GE;010017;COGOLETO;C823;17/03/1861;11/01/1927;Inattivo
GE;010017;COGOLETO;C823;20/05/1933;;Attivo
VI;024032;COGOLLO;C824;19/11/1866;17/04/1924;Inattivo
VI;024032;"COGOLLO DEL CENGIO";C824;18/04/1924;;Attivo
TN;022826;COGOLO;C825;14/02/1923;11/08/1928;Inattivo
TN;802122;COGOLO;C825;16/10/1920;13/02/1923;Inattivo
GE;010018;COGORNO;C826;17/03/1861;;Attivo
NO;003839;COIMO;C827;17/03/1861;28/06/1928;Inattivo
NO;003840;COIROMONTE;C828;31/12/1868;26/11/1928;Inattivo
IM;008812;"COL DI RODI";C834;22/08/1925;03/04/1928;Inattivo
IM;008812;"COL DI RODI";C834;23/06/1882;21/12/1923;Inattivo
TO;001820;"COL SAN GIOVANNI";C906;17/03/1861;18/10/1927;Inattivo
NO;003051;COLAZZA;C829;04/02/1955;;Attivo
NO;003051;COLAZZA;C829;17/03/1861;02/05/1928;Inattivo
PU;041012;COLBORDOLO;C830;26/04/1869;31/12/2013;Inattivo
AT;005043;COLCAVAGNO;C831;24/12/1947;31/08/1998;Inattivo
AL;006869;COLCAVAGNO;C831;17/03/1861;30/11/1928;Inattivo
VI;024126;COLCERESA;M426;20/02/2019;;Attivo
CO;013860;COLCIAGO;C832;17/03/1861;25/09/1883;Inattivo
TN;022976;COLDERANO;C833;14/02/1923;26/04/1923;Inattivo
TN;802123;COLDERANO;C833;16/10/1920;13/02/1923;Inattivo
BZ;021814;COLDRANO;C833;12/01/1927;09/12/1928;Inattivo
TN;022976;COLDRANO;C833;27/04/1923;11/01/1927;Inattivo
BG;016078;COLERE;C835;17/03/1861;22/02/1928;Inattivo
BG;016078;COLERE;C835;22/05/1947;;Attivo
FR;060027;COLFELICE;C836;12/01/1927;;Attivo
CE;061838;COLFELICE;C836;21/12/1923;11/01/1927;Inattivo
TN;021815;COLFOSCO;C837;14/02/1923;15/09/1925;Inattivo
TN;802124;COLFOSCO;C837;16/10/1920;13/02/1923;Inattivo
PC;033016;COLI;C838;01/01/1868;;Attivo
CO;013072;COLICO;C839;17/03/1861;15/04/1992;Inattivo
LC;097023;COLICO;C839;16/04/1992;;Attivo
RE;035019;COLLAGNA;C840;11/03/1872;31/12/2015;Inattivo
PG;054826;"COLLALTO SABINO";C841;26/05/1893;18/03/1923;Inattivo
RI;057018;"COLLALTO SABINO";C841;12/01/1927;;Attivo
RM;058847;"COLLALTO SABINO";C841;19/03/1923;11/01/1927;Inattivo
AQ;066038;COLLARMELE;C844;17/03/1861;;Attivo
PG;054014;COLLAZZONE;C845;17/03/1861;;Attivo
CO;013073;"COLLE BRIANZA";C851;05/02/1928;15/04/1992;Inattivo
LC;097024;"COLLE BRIANZA";C851;16/04/1992;;Attivo
CB;070020;"COLLE D'ANCHISE";C854;03/03/1970;;Attivo
CB;070036;"COLLE D'ANCHISE";C854;17/03/1861;12/05/1928;Inattivo
CB;070036;"COLLE D'ANCHISE";C854;24/04/1946;02/03/1970;Inattivo
RI;057019;"COLLE DI TORA";C857;21/03/1948;;Attivo
SI;052012;"COLLE DI VAL D'ELSA";C847;06/10/1862;;Attivo
BZ;021816;"COLLE IN CASIES";C861;12/01/1927;15/05/1929;Inattivo
TN;022977;"COLLE IN CASIES";C861;14/02/1923;11/01/1927;Inattivo
TN;802125;"COLLE IN CASIES";C861;16/10/1920;13/02/1923;Inattivo
BZ;021010;"COLLE ISARCO";B145;12/01/1927;02/05/1929;Inattivo
TN;022956;"COLLE ISARCO";B145;14/02/1923;11/01/1927;Inattivo
TN;802049;"COLLE ISARCO";B145;16/10/1920;13/02/1923;Inattivo
FR;060029;"COLLE SAN MAGNO";C870;12/01/1927;;Attivo
CE;061839;"COLLE SAN MAGNO";C870;17/03/1861;11/01/1927;Inattivo
BN;062025;"COLLE SANNITA";C846;06/02/1863;;Attivo
BL;025014;"COLLE SANTA LUCIA";C872;14/02/1923;;Attivo
BL;802126;"COLLE SANTA LUCIA";C872;16/10/1920;13/02/1923;Inattivo
TV;026020;"COLLE UMBERTO";C848;25/11/1867;;Attivo
BS;017057;COLLEBEATO;C850;17/03/1861;;Attivo
PR;034009;COLLECCHIO;C852;05/12/1893;;Attivo
TE;067813;COLLECORVINO;C853;17/03/1861;11/01/1927;Inattivo
PE;068015;COLLECORVINO;C853;12/01/1927;;Attivo
TE;067018;COLLEDARA;C311;27/03/1928;;Attivo
CH;069025;COLLEDIMACINE;C855;17/03/1861;;Attivo
CH;069026;COLLEDIMEZZO;C856;17/03/1861;;Attivo
RM;058034;COLLEFERRO;C858;23/07/1935;;Attivo
PG;054827;COLLEGIOVE;C859;17/03/1861;18/03/1923;Inattivo
RI;057020;COLLEGIOVE;C859;12/01/1927;;Attivo
RM;058848;COLLEGIOVE;C859;19/03/1923;11/01/1927;Inattivo
TO;001090;COLLEGNO;C860;17/03/1861;;Attivo
AQ;066039;COLLELONGO;C862;17/03/1861;;Attivo
RM;058849;COLLEPARDO;C864;15/01/1871;11/01/1927;Inattivo
FR;060028;COLLEPARDO;C864;12/01/1927;;Attivo
LE;075021;COLLEPASSO;C865;02/07/1907;;Attivo
AQ;066040;COLLEPIETRO;C866;17/03/1861;;Attivo
TO;001091;"COLLERETTO CASTELNUOVO";C867;15/01/1948;;Attivo
TO;001091;"COLLERETTO CASTELNUOVO";C867;17/03/1861;11/01/1927;Inattivo
AO;007835;"COLLERETTO CASTELNUOVO";C867;12/01/1927;25/09/1928;Inattivo
TO;001092;"COLLERETTO GIACOSA";C868;21/06/1953;;Attivo
TO;001092;"COLLERETTO PARELLA";C868;11/10/1947;20/06/1953;Inattivo
TO;001092;"COLLERETTO PARELLA";C868;17/03/1861;11/01/1927;Inattivo
AO;007836;"COLLERETTO PARELLA";C868;12/01/1927;12/04/1929;Inattivo
LI;049008;COLLESALVETTI;C869;30/11/1925;;Attivo
PI;050807;COLLESALVETTI;C869;17/03/1861;29/11/1925;Inattivo
PA;082032;COLLESANO;C871;17/03/1861;;Attivo
PG;054828;COLLESCIPOLI;C873;17/03/1861;11/01/1927;Inattivo
TR;055805;COLLESCIPOLI;C873;12/01/1927;12/01/1927;Inattivo
PG;054829;COLLESTATTE;C874;17/03/1861;11/01/1927;Inattivo
TR;055806;COLLESTATTE;C874;12/01/1927;12/01/1927;Inattivo
CB;070021;COLLETORTO;C875;03/03/1970;;Attivo
CB;070037;COLLETORTO;C875;17/03/1861;02/03/1970;Inattivo
PG;054830;COLLEVECCHIO;C876;01/03/1871;18/03/1923;Inattivo
RI;057021;COLLEVECCHIO;C876;12/01/1927;;Attivo
RM;058850;COLLEVECCHIO;C876;19/03/1923;11/01/1927;Inattivo
CB;070038;"COLLI A VOLTURNO";C878;10/08/1863;02/03/1970;Inattivo
IS;094017;"COLLI A VOLTURNO";C878;03/03/1970;;Attivo
PU;041069;"COLLI AL METAURO";M380;01/01/2017;;Attivo
AP;044014;"COLLI DEL TRONTO";C877;24/11/1862;;Attivo
RI;057022;"COLLI DI LABRO";C880;07/04/1957;08/09/1962;Inattivo
BZ;021817;"COLLI IN PUSTERIA";C881;12/01/1927;26/03/1929;Inattivo
TN;022978;"COLLI IN PUSTERIA";C881;14/02/1923;11/01/1927;Inattivo
TN;802127;"COLLI IN PUSTERIA";C881;16/10/1920;13/02/1923;Inattivo
RI;057022;"COLLI SUL VELINO";C880;09/09/1962;;Attivo
PV;018193;"COLLI VERDI";M419;01/01/2019;;Attivo
SA;065043;COLLIANO;C879;17/03/1861;;Attivo
CA;092014;COLLINAS;C882;20/08/1974;31/12/2005;Inattivo
CA;092031;COLLINAS;C882;28/12/1863;19/08/1974;Inattivo
VS;106003;COLLINAS;C882;01/01/2006;27/04/2016;Inattivo
SU;111012;COLLINAS;C882;28/04/2016;31/05/2025;Inattivo
VS;117003;Collinas;C882;01/06/2025;;Attivo
BS;017058;COLLIO;C883;17/03/1861;;Attivo
VC;002045;COLLOBIANO;C884;12/01/1927;;Attivo
NO;003957;COLLOBIANO;C884;17/03/1861;11/01/1927;Inattivo
UD;030028;"COLLOREDO DI MONTE ALBANO";C885;06/04/1968;;Attivo
UD;030044;"COLLOREDO DI MONTE ALBANO";C885;19/11/1866;05/04/1968;Inattivo
MC;043014;COLMURANO;C886;17/03/1861;;Attivo
PZ;076807;COLOBRARO;C888;17/03/1861;11/01/1927;Inattivo
MT;077006;COLOBRARO;C888;12/01/1927;;Attivo
CO;013861;COLOGNA;C889;17/03/1861;10/02/1928;Inattivo
TN;022827;"COLOGNA IN GIUDICARIE";C892;14/02/1923;06/03/1928;Inattivo
TN;802128;"COLOGNA IN GIUDICARIE";C892;16/10/1920;13/02/1923;Inattivo
VR;023027;"COLOGNA VENETA";C890;26/08/1867;;Attivo
TN;022828;COLOGNA-GAVAZZO;C891;14/02/1923;11/04/1929;Inattivo
TN;802129;COLOGNA-GAVAZZO;C891;16/10/1920;13/02/1923;Inattivo
BS;017059;COLOGNE;C893;17/03/1861;;Attivo
BG;016079;"COLOGNO AL SERIO";C894;13/07/1863;;Attivo
MI;015081;"COLOGNO MONZESE";C895;14/01/1867;;Attivo
VR;023028;"COLOGNOLA AI COLLI";C897;26/08/1867;;Attivo
BG;016819;"COLOGNOLA DEL PIANO";C896;13/07/1863;11/03/1927;Inattivo
BS;017830;COLOMBARO;C898;17/03/1861;28/07/1928;Inattivo
RM;058035;COLONNA;C900;15/01/1871;;Attivo
TE;067019;COLONNELLA;C901;17/03/1861;;Attivo
CO;013074;COLONNO;C902;17/03/1861;02/11/1928;Inattivo
CO;013074;COLONNO;C902;05/04/1950;;Attivo
SO;014023;COLORINA;C903;17/03/1861;;Attivo
PR;034010;COLORNO;C904;17/03/1861;;Attivo
CS;078043;COLOSIMI;C905;17/03/1861;;Attivo
BZ;021818;COLSANO;C907;12/01/1927;14/02/1929;Inattivo
TN;022979;COLSANO;C907;14/02/1923;11/01/1927;Inattivo
TN;802130;COLSANO;C907;16/10/1920;13/02/1923;Inattivo
MI;015082;COLTURANO;C908;17/03/1861;;Attivo
CO;013251;COLVERDE;M336;04/02/2014;;Attivo
BG;016080;COLZATE;C910;17/03/1861;;Attivo
VA;012054;COMABBIO;C911;12/01/1927;;Attivo
CO;013427;COMABBIO;C911;17/03/1861;11/01/1927;Inattivo
FE;038006;COMACCHIO;C912;17/03/1861;;Attivo
PV;018829;COMAIRANO;C913;17/03/1861;01/06/1871;Inattivo
