codice_istat;cap
117020;09029
117022;09029
117011;09030
117013;09030
117016;09030
117001;09031
118002;09032
118009;09033
118071;09034
117007;09035
117008;09036
117014;09037
117018;09038
117025;09039
117004;09040
117017;09040
118001;09040
118003;09040
118004;09040
118005;09040
118008;09040
118013;09040
118020;09040
118021;09040
118022;09040
118023;09040
118025;09040
118035;09040
118042;09040
118043;09040
118045;09040
118046;09040
118049;09040
118050;09040
118051;09040
118057;09040
118059;09040
118060;09040
118061;09040
118068;09040
118069;09040
118011;09041
118028;09042
118029;09043
118039;09044
118038;09045
118048;09047
118058;09048
118070;09049
118037;09050
118066;09050
118015;09051
118016;09052
118017;09053
118018;09054
118019;09055
118024;09056
118030;09057
118031;09058
118033;09059
118054;09060
118034;09061
118040;09062
118052;09063
116023;09064
114045;09065
118067;09066
118014;09067
118064;09068
118026;09069
115002;09070
115011;09070
115013;09070
115015;09070
115032;09070
115038;09070
115040;09070
115042;09070
115048;09070
115050;09070
115055;09070
115060;09070
115063;09070
115077;09070
115086;09070
115087;09070
115001;09071
115019;09072
115020;09073
115024;09074
115057;09075
115059;09076
115071;09077
115058;09078
115062;09078
115078;09079
115005;09080
115008;09080
115009;09080
115014;09080
115016;09080
115034;09080
115039;09080
115041;09080
115043;09080
115061;09080
115064;09080
115065;09080
115070;09080
115072;09080
115074;09080
115079;09080
115082;09080
115085;09080
115007;09081
115018;09082
115023;09083
115084;09084
115051;09085
115053;09086
115044;09088
115067;09088
115017;09089
115003;09090
115010;09090
115012;09090
115021;09090
115022;09090
115025;09090
115026;09090
115028;09090
115029;09090
115031;09090
115033;09090
115036;09090
115037;09090
115046;09090
115047;09090
115052;09090
115066;09090
115068;09090
115069;09090
115073;09090
115076;09090
115081;09090
115083;09090
115004;09091
115006;09092
115027;09093
115049;09093
115030;09094
115035;09095
115056;09096
115054;09097
115075;09098
115080;09099
118006;09121
118006;09122
118006;09123
118006;09124
118006;09125
118006;09126
118006;09127
118006;09128
118006;09129
118006;09131
118006;09134
115045;09170
001004;10010
001010;10010
001014;10010
001015;10010
001020;10010
001023;10010
001042;10010
001050;10010
001056;10010
001057;10010
001061;10010
001077;10010
001092;10010
001095;10010
001105;10010
001132;10010
001137;10010
001150;10010
001167;10010
001172;10010
001177;10010
001179;10010
001185;10010
001196;10010
001208;10010
001209;10010
001210;10010
001230;10010
001233;10010
001235;10010
001247;10010
001261;10010
001264;10010
001266;10010
001268;10010
001271;10010
001274;10010
001001;10011
001027;10012
001030;10013
001047;10014
001125;10015
001160;10016
001161;10017
001181;10018
001269;10019
001009;10020
001012;10020
001018;10020
001037;10020
001039;10020
001048;10020
001060;10020
001069;10020
001129;10020
001144;10020
001153;10020
001158;10020
001162;10020
001163;10020
001180;10020
001183;10020
001215;10020
001253;10020
001294;10020
001059;10022
001078;10023
001156;10024
001192;10025
001257;10026
001280;10028
001308;10029
001143;10030
001225;10030
001295;10030
001304;10030
001311;10030
001031;10031
001034;10032
001082;10034
001148;10035
001265;10036
001273;10037
001293;10038
001317;10039
001006;10040
001055;10040
001062;10040
001097;10040
001099;10040
001116;10040
001126;10040
001127;10040
001130;10040
001135;10040
001136;10040
001174;10040
001193;10040
001203;10040
001214;10040
001218;10040
001229;10040
001243;10040
001284;10040
001303;10040
001315;10040
001058;10041
001164;10042
001171;10043
001189;10044
001194;10045
001123;10046
001197;10046
001309;10048
001032;10050
001040;10050
001076;10050
001080;10050
001081;10050
001087;10050
001089;10050
001100;10050
001114;10050
001117;10050
001147;10050
001149;10050
001157;10050
001169;10050
001232;10050
001239;10050
001245;10050
001256;10050
001259;10050
001283;10050
001291;10050
001305;10050
001013;10051
001022;10052
001044;10053
001074;10054
001258;10054
001093;10055
001175;10056
001255;10057
001263;10058
001154;10059
001270;10059
001002;10060
001011;10060
001025;10060
001026;10060
001035;10060
001041;10060
001049;10060
001051;10060
001053;10060
001065;10060
001071;10060
001103;10060
001110;10060
001111;10060
001122;10060
001140;10060
001142;10060
001145;10060
001168;10060
001173;10060
001178;10060
001186;10060
001190;10060
001195;10060
001200;10060
001201;10060
001202;10060
001205;10060
001222;10060
001226;10060
001227;10060
001234;10060
001250;10060
001254;10060
001260;10060
001281;10060
001306;10060
001310;10060
001070;10061
001139;10062
001184;10063
001198;10063
001191;10064
001204;10065
001242;10065
001275;10066
001299;10067
001300;10068
001307;10069
001003;10070
001016;10070
